NAME,Time,SURFACE_CODE,CYC_TYPE,Wind_Speed,LAT,LON,Central Pressure,Radius of cyclone
MARCIA ,16/02/2015 6:00,1,20,<17 m/s,-15,152.3,1000,296
MARCIA ,16/02/2015 18:00,1,20,<17 m/s,-14.3,155,1000,241
MARCIA ,17/02/2015 6:00,1,20,<17 m/s,-14.8,155.6,999,278
MARCIA ,17/02/2015 18:00,1,21,17-24 m/s,-15.6,156.1,996,278
MARCIA ,18/02/2015 6:00,1,21,17-24 m/s,-17.2,155.3,995,444
MARCIA ,18/02/2015 18:00,1,30,25-32 m/s,-19.1,153.2,989,426
MARCIA ,19/02/2015 6:00,1,40,>32 m/s,-20.55,150.85,948,296
MARCIA ,19/02/2015 18:00,1,40,>32 m/s,-21.6,150.5,932,241
MARCIA ,20/02/2015 6:00,2,30,25-32 m/s,-23.8,150.6,980,204
MARCIA ,20/02/2015 18:00,2,20,<17 m/s,-25.4,151.8,999,222
YASI ,31/01/2011 12:00,1,40,>32 m/s,-13.5,160.5,971,407
YASI ,1/02/2011 0:00,1,40,>32 m/s,-14.1,156.7,966,482
YASI ,1/02/2011 12:00,1,40,>32 m/s,-14.9,153.2,940,444
YASI ,2/02/2011 0:00,1,40,>32 m/s,-16.5,149.7,937,370
YASI ,2/02/2011 12:00,1,40,>32 m/s,-17.5,146.8,930,333
YASI ,2/02/2011 18:00,2,40,>32 m/s,-18.5,145,958,500
YASI ,3/02/2011 0:00,2,30,25-32 m/s,-19.3,143.1,984,407
YASI ,3/02/2011 6:00,2,30,25-32 m/s,-20,141.5,994,370
LARRY ,15/03/2006 0:00,1,20,<17 m/s,-12.5,158,1005,222
LARRY ,16/03/2006 0:00,1,20,<17 m/s,-14.1,159.7,1002,370
LARRY ,17/03/2006 0:00,1,20,<17 m/s,-15.2,160,1000,370
LARRY ,18/03/2006 0:00,1,30,25-32 m/s,-17.2,156.6,985,444
LARRY ,19/03/2006 0:00,1,40,>32 m/s,-17.7,151.2,970,389
LARRY ,20/03/2006 0:00,2,40,>32 m/s,-17.5,145.3,965,333
LARRY ,21/03/2006 0:00,2,20,<17 m/s,-19.4,139.9,1000,167
GEORGE ,4/03/2007 12:00,2,20,<17 m/s,-14.4,127.3,993,74
GEORGE ,5/03/2007 12:00,1,30,25-32 m/s,-14.5,124.1,980,93
GEORGE ,6/03/2007 12:00,1,30,25-32 m/s,-14.6,120.9,978,204
GEORGE ,7/03/2007 12:00,1,40,>32 m/s,-16.1,119.3,956,333
GEORGE ,8/03/2007 12:00,1,40,>32 m/s,-19.9,119.1,902,204
GEORGE ,9/03/2007 12:00,2,30,25-32 m/s,-22.6,120.4,984,370
GEORGE ,10/03/2007 12:00,2,20,<17 m/s,-24.4,122.3,986,167
GEORGE ,11/03/2007 12:00,2,20,<17 m/s,-25.9,124.6,994,111
INGRID ,5/03/2005 12:00,1,21,17-24 m/s,-12.3,146.4,1004,222
INGRID ,6/03/2005 12:00,1,40,>32 m/s,-13.6,148.7,975,241
INGRID ,7/03/2005 12:00,1,40,>32 m/s,-14.3,148.4,945,241
INGRID ,8/03/2005 12:00,1,40,>32 m/s,-13.9,146.5,935,259
INGRID ,9/03/2005 12:00,1,40,>32 m/s,-13.3,144.5,960,167
INGRID ,10/03/2005 12:00,4,30,25-32 m/s,-13,141.5,990,148
INGRID ,11/03/2005 12:00,1,40,>32 m/s,-12.1,137.8,944,222
INGRID ,12/03/2005 12:00,1,40,>32 m/s,-11.4,133.9,924,167
INGRID ,13/03/2005 12:00,2,40,>32 m/s,-11.4,130.8,964,130
INGRID ,14/03/2005 12:00,1,40,>32 m/s,-12,128.7,946,167
INGRID ,15/03/2005 12:00,1,40,>32 m/s,-13.8,127.1,940,111
INGRID ,16/03/2005 12:00,2,30,25-32 m/s,-15,127.4,983,167
MONICA ,16/04/2006 0:00,1,20,<17 m/s,-9.5,152.5,1003,185
MONICA ,17/04/2006 0:00,1,30,25-32 m/s,-12.3,150.5,994,278
MONICA ,18/04/2006 0:00,1,30,25-32 m/s,-12.7,147.5,980,278
MONICA ,19/04/2006 0:00,1,40,>32 m/s,-13,144.3,965,278
MONICA ,20/04/2006 0:00,4,30,25-32 m/s,-13.8,141.3,990,296
MONICA ,21/04/2006 0:00,1,40,>32 m/s,-13.5,140.1,971,278
MONICA ,22/04/2006 0:00,1,40,>32 m/s,-12.6,139.4,947,370
MONICA ,23/04/2006 0:00,1,40,>32 m/s,-11.4,138,929,333
MONICA ,24/04/2006 0:00,1,40,>32 m/s,-11.4,135.2,919,296
MONICA ,25/04/2006 0:00,4,20,<17 m/s,-12.5,131.4,998,333
MONICA ,26/04/2006 0:00,1,20,<17 m/s,-13.2,129.6,996,222
MONICA ,27/04/2006 0:00,2,20,<17 m/s,-15.4,130.8,1004,333
